Entity 1,Relation,Entity 2
ransomware,hide within,VMs
virtual machines,aka,VMs
Daxin,packed with,VMProtect
wabmig.exe,spawned from,VLC Media Player
dllhost.exe,spawned from,VLC Media Player
Grixba,checks for existence of,VIPRE Anti-Virus
Mimikatz,execute on,VDI-KMS
mpr.dll,load,VBoxTray.exe
Backdoor.Pterodo.C,drop,VBScripts
Backdoor.Pterodo.E,extract,VBScript files
Pterodo,drop,VBScript file
xPack backdoor,execute,VBS script
obfuscated PowerShell script,drop,VBS script
QAKBOT,use,VBS
Windows Program,runs,UnionCryptoUpdater.msi
Windows Program,deletes,UnionCryptoUpdater.msi
Windows Program,runs,UnionCryptoUpdater.exe
Windows Program,installs,UnionCryptoUpdater.exe
Windows Program,extracts,UnionCryptoTrader.msi
CVE-2021-27857,exploit,Unified Messaging service
deep-green.exe,tool,UltraVNC
Shuckworm,distribute,UltraVNC
rattacker,use,UltraVNC
Shuckworm,use,UltraVNC
Surfcop,infected by,Ukash Gendarmerie
LockBit,bypass UAC using,USERENV.dll
Shuckworm,add,USB propagation malware
Shuckworm,use,USB propagation malware
Shuckworm,use,USB key
C2 shipmentofficedepot[.]com,seen in,US-based victims
malicious SMS messages,use,URL shortening services
malicious email campaigns,employ,URL domains
Regeorg webshell,used by,UNC3524
Cranefly,link to,UNC3524
CVE-2021-22893,exploited by,UNC2630
CVE-2021-35394,affect,UDPServer
Nodaria group,aka,UAC-0056
Man in The Browser (MiTB),attacks,Two factor Authentification (2FA
FlawedGrace,used in,Truebot
CVE-2022-3199,delivery method,Truebot
windowservicecemter[.]com,host,TrueBot
scskapplink.dll,belong to,Trojanized tool
Trojan.Clipminer,spread,Trojanized downloads
Trend Micro Malware Detection Patterns,detect,Trojan.Win32.CVE202323397
Elfin,use,Trojan.Stonedrill
Stonedrill,is,Trojan.Stonedrill
Spyder Loader,aka,Trojan.Spyload
Backdoor.Daxin,occurred with,Trojan.Owprox
NanoCore,aka,Trojan.Nancrat
PowerShell script,deploy,Trojan.KillDisk
proposal_pakistan110.chm:error.html,drop,Trojan.Ismdoor
Leafminer group,use,Trojan.Imecab
Cranefly,use,Trojan.Geppei
FASTCash,use,Trojan.Fastcash
group,installed,Trojan.Fastcash
Exmatter,aka,Trojan.Exmatter
Cranefly,install,Trojan.Danfuan
Grayfly,use,Trojan.Chattak
Lazarus,deploy,Trojan.Banswift
d3dcompiler_47.dll,is,Trojan
Webworm,develop,Trochilus dropper
Space Pirates,deploy,Trochilus RAT
attackers,use,Trochilus RAT
Webworm,use,Trochilus RAT
Webworm,develop,Trochilus
Miner cyber-crime group,use,Trickbot
Bumblebee,introduced as replacement for,Trickbot
malware,include,TrickBot
e9600404ecc42cf86d38deedef94068db39b7a0fd06b3b8fb2d8a3c7002b650e,detect,TrickBot
SharpChisel,documented by,Trend Micro
Password Dumper,documented by,Trend Micro
malware,run,TpmVscMgrSvr.exe
REvil,use,Tor payment site
Cyclops Blink,connect to,Tor network
Trojan.Clipminer,connect to,Tor network
malware,download,Tor consensus data
Noberus,generate,Tor address
Thumbsender,save file names in,Thumb.db
Billbug,aka,Thrip
web shells,use,Thor.dll
Yanluowang,link,Thieflock
Canthroid,develop,Thieflock
Fivehands,develop,Thieflock
SVR,aka,The Dukes
Water Labbu,interact with,Tether USD smart contract
Shuckworm,use,Telegraph
group,use,Telegram messaging service
C&C server,deliver,Telegram
Dark Pink,use,Telegram
Enigma,use,Telegram
Microsoft Excel add-in,ensure persistence,TelePowerBot
Raindrop,similar configuration,Teardrop
Sunburst Trojan,related to,Teardrop
Raindrop,similar to,Teardrop
Raindrop,act as,Teardrop
Demon,Use,Teamserver
Kimsuky,use,TeamViewer client
Grixba,checks for existence of,TeamViewer
LockBit,end,TeamViewer
temp.temp,use,TdiProxy0
FormDll.dll,drop,TdiProxy.sys
Raindrop,use,Tcl/Tk projects
Raindrop,Export Names,Tcl/Tk projects
TaxReturn2022.img,contains,TaxReturns2022.zip
TaxReturn2022.img,contains,TaxReturns2022.pdf.lnk
TaxReturn2022.img,contains,TaxReturn2022.pdf.lnk
shellcode,inject,Task32Main
campaign,use,Task Scheduler
38.54.33.228,Windows user,TaoZongjie
TaoZongjie,name,TaoZongjie
Backdoor.Notestuk,aka,TURNEDUP
Vidar,use,TOR relays
Backdoor.Motnug,aka,TOMMYGUN/CROSSWALK
Leafminer,use,THC Hydra
Pihar,member of,TDL/TDSS/Olmarik/Alureon/Maxss family
Purple Haze,similar to,TDL/TDSS
PandorahVNC RAT,define,TCP port
Evil Corp,historical links with,TA505
Snakefly,aka,TA505
BeagleBoyz,work with,TA505
Witchetty,sub-group of,TA410
Chinese state-sponsored cyber actors,use,TA0043
TrickBot,use,TA0040
TrickBot,gather information,TA0040
TrickBot,manipulate systems and data,TA0040
Chinese MSS-affiliated actors,use,TA0014
Cobalt Strike,complement,TA0011
PRC state-sponsored cyber actors,use,TA0010
Maui,use,TA0010
threat actor,steal,TA0009
Chinese MSS-affiliated threat actors,use,TA0009
threat actor,evade,TA0009
threat actor,use,TA0009
Chinese MSS-affiliated actors,use,TA0007
BeagleBoyz,use,TA0006
Chinese state-sponsored cyber actors,use,TA0005
TA0005,applies to,TA0005
Kimsuky,use,TA0004
Chinese state-sponsored cyber actors,use,TA0004
PowerShell,necessary for,TA0004
TA0003,apply to,TA0003
QAKBOT,use,TA0003
Chinese state-sponsored cyber actors,use,TA0003
LockBit affiliate,use,TA0002
Chinese MSS-affiliated actors,use,TA0002
Chinese state-sponsored cyber actors,use,TA0001
BeagleBoyz,use,TA0001
Truebot,use,T1620
Acunetix,use,T1595.002
Karakurt,use,T1591.002
Karakurt,use,T1589.001
Dorusio,develop capabilities,T1587.001
dorusio[.]com,Acquire Infrastructure,T1587.001
APT40,use,T1583.001
APT40,conduct,T1583.001
malicious DLL,use,T1574.001
Emotet,use,T1573.002
NTDS.dit,stolen by,T1573.001
T1573.001,used by,T1573.001
Hive actors,use,T1566.001
LokiBot,use,T1564.001
Kimsuky,use,T1562.004
LockBit,use,T1562.001
LockBit,use,T1562
BlackMatter,use,T1561
LockBit,use,T1560.001
Russian state-sponsored APT actors,use,T1555
Russian state-sponsored APT actors,persistence,T1555
PRC state-sponsored cyber actors,use,T1555
Truebot,use,T1550.002
LockBit,use,T1548
threat actor,use,T1546.008
Kimsuky,use,T1546.001
Cyclops Blink,use,T1542.001
BianLian group,use,T1537
Hive ransomware,use,T1537
BeagleBoyz,use,T1505.003
TrickBot,use,T1496
QAKBOT,use,T1491
LockBit,use,T1489
BlackMatter,leverages,T1486
BlackMatter,uses,T1486
BlackMatter,impacts,T1486
BlackMatter,attempts,T1486
BlackMatter,encrypts,T1486
BianLian group,use,T1486
QAKBOT,process injection,T1482
QAKBOT,discover domain trust,T1482
QAKBOT,obfuscate files,T1482
QAKBOT,execute DLLs,T1482
QAKBOT,evasion,T1482
QAKBOT,deobfuscate files,T1482
Black Basta,impair defenses,T1482
QAKBOT,discover windows,T1482
Chinese MSS-affiliated actors,observe,T1349
Chinese MSS-affiliated actors,use,T1349
Chinese MSS-affiliated actors,use,T1291
Chinese MSS-affiliated actors,use,T1245
Chinese state-sponsored cyber actors,use,T1210
BeagleBoyz,use,T1204
Chinese state-sponsored cyber actors,use,T1190
Acunetix,use,T1190
LEMURLOOT,use,T1190
Kimsuky,use,T1185
Chinese actors,use,T1120
Chinese state-sponsored cyber actors,use,T1115
BeagleBoyz,use,T1113
KONNI,use,T1112
Emotet,use,T1110.001
LockBit 3.0,use,T1110
Chinese state-sponsored cyber actors,use,T1105
Chinese MSS-affiliated actors,use,T1090.002
LockBit,use,T1082
Kimsuky,use,T1074.001
Cyclops Blink,use,T1071.001
Kimsuky,use,T1070.004
APT actors,employ,T1059.004
KONNI,use,T1059.003
Russian state-sponsored APT actors,use,T1059.003
Chinese state-sponsored cyber actors,use,T1059
Chinese state-sponsored cyber actors,use,T1057
Kimsuky,use,T1056.001
TrickBot,use,T1055.012
FlawedGrace,manipulate,T1055.001
FlawedGrace,establish,T1055.001
FlawedGrace,store,T1055.001
explorer.exe,link to,T1055
Exfiltration Over C2 Channel,technique,T1041
BeagleBoyz,use,T1041
Truebot,use,T1036
Chinese state-sponsored cyber actors,use,T1027
Kimsuky,use,T1021.001
GREASE,use,T1021.001
QAKBOT,use,T1021
T1021,use,T1021
cyber actors,use,T1020.001
TrickBot,use,T1016
Truebot,use,T1016
TrickBot,use,T1008
Chinese state-sponsored cyber actors,attacke,T1003.003
Ligolo,establish tunnels,T1003.001
Chinese MSS-affiliated actors,use,T1003.001
LostMyPassword,recover passwords,T1003.001
MegaSync,facilitate synchronization,T1003.001
MEGA Ltd,facilitate synchronization,T1003.001
Microsoft Sysinternals PsExec,obtain credentials,T1003.001
Microsoft Sysinternals ProcDump,monitor applications,T1003.001
Microsoft Sysinternals ProcDump,obtain credentials,T1003.001
Schneider Electric ICS,associated with,T0836
Powershell backdoor,related to,SystemBC malware
LockBit,operated by,Syrphid
LockBit,aka,Syrphid
LockBit 3.0,developed for,Syrphid
Grixba,checks for existence of,Synology C2 Cloud
X_Trader,for,Supply Chain Attack
3CX,for,Supply Chain Attack
SolarWinds,control,Sunburst
SolarWinds' Orion software,deliver,Sunburst
Witchetty,exploit,Subsystem Service
Swallowtail,is,Strontium
penetration testers,use,Stowaway Proxy Tool
Elfin,use,Stonedrill
Gatak Trojan,aka,Stegoloader
BlackMatter,linked to,StealBit
Operation CuckooBees,use,Spyder Loader
Grixba,checks for existence of,Splashtop
attacker,use,Splashtop
LockBit,use,Splashtop
attackers,used,Splashtop
AdFind,used alongside,Splashtop
hxxps://discordapp[.]com/api/webhooks/1068100542682902558/9JUsLnJZLyEkc_bGS85KTa5M1VWZ2J496v6Ruo7oUclFE08osfXNZL_OK5YDGOPYHLFy,in,Spidey Bot
ScreenConnect setup MSI,delivered in,Special discount program.zip
Sidewalk,attributed to,SparklingGoblin
Webworm,link to,Space Pirates
Webworm,same threat group as,Space Pirates
original backdoor,reorganized as,Soul module
Sunburst,modify,SolarWinds.Orion.Core.BusinessLayer.dll
solarwinds.orion.core.businesslayer.dll,signed by,SolarWinds code signing certificate
Sunburst,send data to,SolarWinds attacks
Sunburst,Trojanize,SolarWinds Orion software
Sunburst,installed through,SolarWinds Orion
Russian state-sponsored APT actors,gain access to,SolarWinds Orion
Sunburst backdoor,delivered using,SolarWinds Orion
tool,used by,SolarWinds Orion
Raindrop,discovered in,SolarWinds
Sunburst,target,SolarWinds
attackers,deploy,SoftPerfect Network Scanner
Thieflock,use,SoftPerfect Network Scanner
campaign,use,SoftEtherVPN
APT28,also tracked as,Sofacy
Swallowtail,aka,Sofacy
ransomware attack,switch to,Sodinokibi ransomware
Leafroller,aka,Sodinokibi
REvil,use,Sodinokibi
attackers,deploy,Sodinokibi
Cobalt Strike,deliver,Sodinokibi
Cicada,deploy,Sodamaster backdoor
Mimikatz loader,used by,Sodamaster
Win32/Spy.Ranbyus,works at,SmartCard API level
The Register,published,Small banking Trojan poses major risk
Owprox,associated with,Slug
UNC2630,launch,SlowPulse
Buhti,install,Sliver
attackers,deploy,SiteShoter
Merdoor,abuse,SiteAdv.pak
Merdoor,abuse,SiteAdv.exe
Merdoor,abuse,SiteAdv.dll
C2 shipmentofficedepot[.]com,seen in,Singapore
attackers,use,Simple Network Management Protocol (SNMP
Stonefly,aka,Silent Chollima
TrueBot,attributed to,Silence
Grixba,checks for existence of,SightCall
CVE-2022-34278,IPS signature,Siemens.PADS.Layout.Viewer.CVE-2022-34278.Memory.Corruption
CVE-2022-34277,IPS signature,Siemens.PADS.Layout.Viewer.CVE-2022-34277.Memory.Corruption
CVE-2022-34276,IPS signature,Siemens.PADS.Layout.Viewer.CVE-2022-34276.Memory.Corruption
CVE-2022-34275,IPS signature,Siemens.PADS.Layout.Viewer.CVE-2022-34275.Memory.Corruption
Grayfly,use,Sidewalk
Giddome,is,Shuckworm backdoor
xsph[.]ru,associated with,Shuckworm
a0698649[.]xsph[.]ru,associated with,Shuckworm
Backdoor.Pterodo,tool of,Shuckworm
ntuser,associated with,Shuckworm
Grixba,checks for existence of,ShowMyPC
Arid Gopher,contains,Shortcut.exe
Chinese MSS-affiliated actors,gather,Shodan
chrome_frame_helper.exe,launch,SharpHound
enterprise application,tool,SharePoint pages
Greenbug,connection to,Shamoon group
Elfin,attack,Shamoon attacks
Blackfly,use,Shadowpad
Chinese APT groups,use,ShadowPad
X_TRADER_r7.17.90p608.exe,contain,Setup.exe
Arid Gopher,run,SetRegRunKey.exe
Sparrow,output,ServicePrincipal_Operations_Export.csv
Sparrow PowerShell script,output,ServicePrincipal_Operations_Export.csv
Arid Gopher,shortAPP,ServiceHubIdentityHost.exe
Arid Gopher,contains,ServiceHubIdentityHost.exe
Cobalt Strike,use,Service Control Manager
Clasiopa,attempt to disable,SepMasterService
Backdoor.Win32.CLEXEC,file name,SensorAware.dll
APT28,also tracked as,Sednit
celasllc[.]com,signed by,Sectigo certificate
kupaywallet[.]com,had,Sectigo SSL certificate
jmttrading[.]org,has,Sectigo SSL certificate
ants2whale[.]com,had,Sectigo SSL certificate
unioncrypto[.]vip,had,Sectigo SSL certificate
celasllc[.]com,tool,Sectigo
8220 Gang,use,ScrubCrypt
Blackfly,use,Screenshotting tool
Grixba,checks for existence of,ScreenMeet
ConnectWise Control,previously known as,ScreenConnect
Pterodo,use,Scheduled Tasks
JARM,developed by,Salesforce
Nodaria,use,SaintBot
Billbug,use,Sagerunex
Blaster,perform,SYN flood attack
SolarWinds,responsible for,SVR
Tomiris,similar to,SUNSHUTTLE
POORTRY,use,STONESTOP
coingotrade[.]com,had,SSL certificate
Sectigo,tool,SSL certificate
Blackfly,use,SQL tool
Grixba,checks for existence of,SOS BeyondTrust
Equation Group tools,include,SMBTouch
jquery.hta,by,SILENTTRINITY
PowerShell,push logs into,SIEM
Exmatter,upload to,SFTP server
Sparrow,output,SAMLToken_Operations_Export.csv
Sparrow PowerShell script,output,SAMLToken_Operations_Export.csv
APT40,use,S0183
Miner group,linked to,Ryuk
TrickBot,drop,Ryuk
Trickbot,precursor to,Ryuk
Miner cyber-crime group,use,Ryuk
Noberus,coded in,Rust
Smartcards,used in,Russian remote banking systems
Shuckworm,on behalf of,Russian Federal Security Service
file.zip,contain,RuntimeBroker.exe
Evasive Panda,include,Rundll32.exe
Daggerfly,include,Rundll32.exe
Batloader,deploy,Royal ransomware
Blackfly,use,Rootkit driver
Cuba ransomware,deploy,RomCom RAT
dirwinstat.com,seen in,RomCom
devolrdm.com,seen in,RomCom
Buer Loader,use,Ring
Micropsia,includes,Reverse SOCKs Tunneler
Grixba,checks for existence of,RemoteToPC
Grixba,checks for existence of,RemotePC
Grixba,checks for existence of,Remote Utilities
BianLian group actors,modify,Remote Desktop Users group
Grixba,checks for existence of,Remote Desktop Manager
XWorm,belong to,Remote Access Trojan
Kimsuky,create,Remote Access Service
Task32Main,within,Regsvcs.exe
Daxin,reminiscent of,Regin
PandorahVNC RAT,inject into,RegAsm.exe
malware samples,include,Redline
pnscan,scans for,Redis server
masscan,scans for,Redis server
attackers,used,Rclone
LockBit,use,Rclone
BianLian group,use,Rclone
BianLian group,install,Rclone
Hive ransomware,use,Rclone
89.34.237.118,download,Rar32.exe
XMRig,merged,RapperBot
Leafroller,operate,Ransomware-as-a-Service
LockBit,belong to,Ransomware
Buhti,belong to,Ransomware
Exbyte,belong to,Ransomware
Noberus,belong to,Ransomware
IC3.gov,report,Ransomware
REvil,detected as,Ransom.Sodinokibi
Clop,use,Ransom.Clop
SolarWinds attacks,related to,Raindrop
7-Zip,source code,Raindrop
Cobalt Strike,extracted from,Raindrop
Grixba,checks for existence of,Radmin
LockBit,improve,RaaS operation
Coreid,runs,RaaS operation
Conti,follow,RaaS
Hive,follow,RaaS
Avoslocker,follow,RaaS
supply chain attack,carried out by,REvil ransomware operators
Sodinokibi,aka,REvil
Noberus,create ransomware note,RECOVER-sykffle-FILES.txt.png
Noberus,create ransomware note,RECOVER-sykffle-FILES.txt
Yanluowang,drop,README.txt
Hodprot,uses,RDPdoor v4.2.x
Smartcard devices,detected by,RDPdoor
PsExec,load,RATS
ShadowPad,belong to,RAT
MSDT Follina Bug,drop,RAT
attacker,use,RAR archiving tool
Chinese state-sponsored cyber actors,use,RAR archives
PRC state-sponsored cyber actors,gain credentials from,RADIUS server
attacker,use,Quser
attackers,use,QuasarRAT
IceFog,use,Quarks PwDump
Bumblebee,drop,Quantum ransomware
AdFind,appeared in,Quantum ransomware
Bumblebee,deliver,Quantum
Bumblebee,linked to,Quantum
Mealybug,use,Qakbot
kagomadb[.]com,used for,Qakbot
malware,include,QakBot
symantecuptimehost[.]com,seen in,QAKBOT
Chinese state-sponsored cyber actors,automate,Python scripts
Python script,download and run,Python script
Msi.dll,act as,Python execution environment
Trojan.Geppei,use,PyInstaller
attackers,install,PyCrypto
Batloader,use,PyArmor
Python script,protected with,PyArmor
attacker,download,Putty
ESET,published article on,Purple Haze
attackers,use,PuTTY’s PSCP command line application
Shuckworm,distribute,Pterodo/Pteranodon
Shuckworm,execute,Pterodo backdoor
C&C server,connect to,Pterodo backdoor
Shuckworm,redevelop,Pterodo
Shuckworm,spread,Pterodo
LockBit,use,PsExec
actors,download,PsExec
Retooled Waterbug,use,PsExec
NanoCore,use,PsExec
PotPlayer Mini,launched,PsExec
living-off-the-land tools,include,PsExec
attacker,use,PsExec
Cobalt Strike,use,PsExec
ransomware,used tool,PsExec
Noberus,use,PsExec
xPack backdoor,execute,PsExec
attackers,use,PsExec
CheckID,leverage,PsExec
LockFile ransomware,use,ProxyShell
Blackfly,use,Proxy configuration tool
Blackfly,use,Process-hollowing tool
LockBit,end,Process Monitor
LockBit,end,Process Hacker
LockBit,end,Process Explorer
Shuckworm,use,Process Explorer
campaign,use,Procdump
Crash Handler,install,ProcExplorer
Mimikatz,execute,ProcDump
attacker,use,ProcDump
CheckID,leverage,ProcDump
PotPlayer Mini,launched,ProcDump
living-off-the-land tools,include,ProcDump
attackers,used,ProcDump
attackers,install,ProcDump
Stonefly,develop,Preft backdoor
attacker,install,Preft backdoor
jquery.hta,contain,PreBot.dll
Emotet,use,Powershell
BlackByte,use,PowerView
adf.bat,used with,PowerSploit
Shuckworm,use,PowerShell scripts
attackers' C&C server,host,PowerShell script
obfuscated PowerShell script,drop,PowerShell script
Powershell backdoor,download,PowerShell script
downloader,download,PowerShell script
Emotet,run,PowerShell script
Shuckworm,use,PowerShell script
attackers,used,PowerShell script
attackers,using,PowerShell commands
attackers,executing,PowerShell commands
XMRig miner,download,PowerShell command
CSIDL_SYSTEM\wininit.exe,execute,PowerShell command
PDQ Deploy,use,PowerShell Empire
BeagleBoyz,use,PowerShell Empire
Russian state-sponsored APT actors,use,PowerShell
Hive ransomware,use,PowerShell
Chinese state-sponsored cyber actors,use,PowerShell
Earth Preta,use,PowerShell
T1095,use,PowerShell
threat actors,use,PowerShell
WMIC,Parallels,PowerShell
CheckID,leverage,PowerShell
BeagleBoyz,use,PowerShell
Sdiagnhost.exe,creates,PowerShell
 (GraphSteel,use,PowerShell
attackers,use,PowerShell
PsExec,launch,PowerShell
Telecoms attack,use,PowerShell
Lancefly,use,PowerShell
attacker,use,PowerShell
ELF malware sample,retrieve,Poseidon payload
Operation Dream Job,carried out by,Pompilus
Operation Dream Job,continuation of,Pompilus
Budworm,use,PlugX/Korplug Trojan
attackers,use,PlugX/Korplug Trojan
Blackfly,use,PlugX/Fast
Daggerfly,use,PlugX loader
9002 RAT,deliver,PlugX RAT
Trochilus,linked to,PlugX
Blackloader,is linked to,PlugX
Prcloader,is linked to,PlugX
ShadowPad,successor to,PlugX
Iron Tiger,load,PlugX
Greenbug,use,Plink
Play Ransomware,known as,PlayCrypt
Billbug,leverage,Ping
TDSS Killer,detects,Pihar.b
TDSS Killer,removes,Pihar
Kaspersky,detects,Pihar
The web shell,modification,PhpSpy
Celas LLC,use,Phishing: Spearphishing Link
Sodinokibi,hosted on,Pastebin
Cobalt Strike,hosted on,Pastebin
Grixba,checks for existence of,Paragon
jquery.hta,similar,Pantomime.hta
Sparrow,output,PSMailbox_Operations_Export.csv
Sparrow PowerShell script,output,PSMailbox_Operations_Export.csv
Sparrow PowerShell script,output,PSLogin_Operations_Export.csv
Sparrow,output,PSLogin_Operations_Export.csv
attackers,download,POSHC2 stager
registry.ps1,download,POSHC2
UNC3944,use,POORTRY
AppleJeus,use,POOLRAT
PHP/GoTrim!tr.dldr,name,PHP/GoTrim!tr.dldr
attacker,use,PDQ Deploy
living-off-the-land tools,include,PAExec
Slug,aka,Owlproxy
TrickBot,collects email addresses from,Outlook
TrickBot,obtain,Outlook
PandorahVNC RAT,steal credentials from,Outlook
Nodaria,use,OutSteel
(attacker,use,Orchestrator module
RagnarLocker,run from,Oracle VirtualBox Windows XP VM
Stonefly,aka,Operation Troy
Lazarus,conduct,Operation Dream Job
Lazarus group,continuation of,Operation Dream Job
Spyder Loader,used in,Operation CuckooBees
TrickBot,obtain,OpenVPN
PingPull,use,OpenSSL 0.9.8e
TrickBot,obtain,OpenSSH
Graphican,use,OneDrive
Graphican,abuse,OneDrive
ESET,updated tool for,OlmarikTDL4 remover
Graphiron,masquerade as,OfficeTemplate.exe
Malekal_morte,suggests,OTLPE
Surfcop,shares,OTL report
Surfcop,runs,OTL
Bluebottle,continuation of,OPERA1ER
personnel[.]bdm-sa[.]fr,seen in,OPERA1ER
fiche de candidature.scr,used by,OPERA1ER
Bluebottle,same as,OPERA1ER
campaign,use,Ntlmrelay
attacker,use,Ntdsutil
LockBit,use,Nsudo-dropper
LockBit,end,Notepad++
LockBit,end,Notepad
RomCom 3.0,signed by,Noray Consulting Ltd.
WhisperGate,linked to,Nodaria
PsExec,deploy,Noberus ransomware
Infostealer.Eamfo,associated with,Noberus
Coreid,update,Noberus
Coreid,announce,Noberus
Exmatter,used in,Noberus
Tomiris,developed by,Nobelium
SolarWinds hack,attack,Nobelium
Kaseya attack,attack,Nobelium
FoggyWeb,linked to,Nobelium
TrickBot,utilizing,Nltest
KxFXQGVBtb.ps1,inject,NjRAT
attackers,use,Nirsoft Remote Desktop PassView
Grixba,checks for existence of,NinjaOne
Flea,aka,Nickel
APT15,aka,Nickel
Iranian government-sponsored APT actors,implanted,Ngrok reverse proxies
actors,download,Ngrok
actors,implant,Ngrok
LockBit,use,NetworkShare
svchost,launch,NetworkService
Bluebottle,use,Netwire remote access Trojan
LockBit,use,Netscan
Actors,use,Netscan
BlackByte,use,NetScan
attackers,used,NetScan
FRPC,tool,NetScaler
web shells,call out,NetScaler
attacker,use,Net localgroup /add
"""exchange trusted subsystem"" domain group",queried by,Net group
Telecoms attack,use,Net group
attackers,use,Nbtscan
Othorene,use,NbtScan
198.54.115[.]51,controlled by,NameCheap Inc.
198.54.114[.]175,controlled by,NameCheap Inc.
Pegasus,developed by,NSO Group
GuLoader,delivered as,NSIS executable
attacker,use,NBTScan
Korplug/PlugX,link to,Mustang Panda
Seedworm,aka,MuddyWater
ZXShell,variant,Msrpcsvc.dll
agent.crt,drop,MsMpEng.exe
C2 shipmentofficedepot[.]com,seen in,Mozambique
Bumblebee,linked to,Mountlocker
iispool.aspx,attribute,Moses Staff group
Grixba,checks for existence of,Morphisec
Eamfo,used by,Monti
GMER,seen in,Monti
176[.]65[.]137[.]5,C2 server,Mirai-based SORA variant
C2 servers,distribute,Mirai-based SORA variant
Fast-search.tk,seen in,Mining script
Trickbot,controlled by,Miner group
Conti,aka,Miner group
Trickbot,owned by,Miner group
Vaxa.exe,is,Miner Installer
Conti ransomware,developed by,Miner
mimilib.dll,dropped by,Mimikatz loader
attacker,use,Mimikatz
Blackfly,use,Mimikatz
attackers,run,Mimikatz
Safetykatz,variants,Mimikatz
resources.dll,use,Mimikatz
attackers,used,Mimikatz
PotPlayer Mini,launched,Mimikatz
backdoor,deploy,Mimikatz
svchost.exe,install,Mimikatz
attackers,dump credentials,Mimikatz
Greenbug,use,Mimikatz
LockBit,use,Mimikatz
living-off-the-land tools,include,Mimikatz
calc.exe,execute,Mimikatz
PAExec,execute,Mimikatz
Pypykatz,variants,Mimikatz
Witchetty,use,Mimikatz
actors,download,Mimikatz
attackers,use,Mimikatz
rundll32.exe,hide usage of,Mimikatz
SVR cyber operators,use,Mimikatz
Backdoor.Graphon,loadpoint,MicrosoftSystemServices
Graphiron,masquerade as,MicrosoftOfficeDashboard.exe
CVE-2018-8634,exploit,Microsoft text-to-speech
Backdoor.Graphon,communicate with,Microsoft infrastructure
Harvester,leverage,Microsoft infrastructure
Backdoor.Graphon,use,Microsoft infrastructure
Chinese state-sponsored cyber actors,use,Microsoft OneDrive® API
Kimsuky,target,Microsoft Office
CVE-2018-8232,introduce,Microsoft Macro Assembler
Frebniis,abuse,Microsoft IIS
Graphican,use,Microsoft Graph API
Graphican,abuse,Microsoft Graph API
w3wp.exe,process,Microsoft Exchange's Outlook Web Application
CovalentStealer,use,Microsoft Exchange server
APT cyber actors,access,Microsoft Exchange server
BlackByte,use,Microsoft Exchange Servers
Dark Pink,use,Microsoft Excel add-in
proposal_pakistan110.chm:error.html,opened by,Microsoft Edge browser
PandorahVNC RAT,steal credentials from,Microsoft Edge
Chinese state-sponsored cyber actors,gain information about,Microsoft 365
attacker,download,Micropsia
Mantis,use,Micropsia
MgBot backdoor,name,MgBot backdoor
campaign,use,MgBot backdoor
MgBot,have,MgBot Plugins
MgBot,have,MgBot EXE dropper
MgBot,have,MgBot DLL Loader
Daggerfly,used,MgBot
Daggerfly,use,MgBot
%TEMP%\msedgeupdate.dll,tool,Meterpreter
Bumblebee,deploy,Meterpreter
Buhti,install,Meterpreter
Bumblebee,inject,Metasploit DLL
Kimsuky,use,Metasploit
DoRVA,the same toolset,Merdoor loader
Lancefly,use,Merdoor
Rclone,use,Mega.nz
Exbyte,upload,Mega.co.nz
Exbyte,upload to,Mega.co.nz
BianLian group,use,Mega file-sharing service
Sodinokibi,similar to,Maze ransomware group
MSP software,use,Managed Service Providers
Tinba,uses technique,Man in The Browser (MiTB
Surfcop,looking for,Malwarebytes
Sparrow PowerShell script,output,MailItems_Operations_Export.csv
Sparrow,output,MailItems_Operations_Export.csv
credential phishing webpages,target,Mail.ru
attackers,inject,MagicLine
Flashback Trojan,affects,Mac OS X systems
supply chain attack,involve,MSP software
REvil,deliver,MSP software
ransomware,used tool,MSIExec
Celas Trade Pro,use,MSI Installer
DllHelper.exe,different file size,MSDriverMonitor.exe
MSDriverLoader.exe,download and execute,MSDriverMonitor.exe
Dark Crystal RAT,RAT,MSDriverMonitor.exe
MSDriverLoader.exe,download,MSDriverMonitor.exe
C:\Users\Public\MSLoader.exe,execute,MSDriverLoader.exe
new.bat,download and execute,MSDriverLoader.exe
MOVEit Transfer,affected by,MOVEit Transfer
CVE-2023-34362,occur,MOVEit Transfer
CVE-2023-34362,infect,MOVEit Transfer
Lemurloot,target,MOVEit Transfer
LockBit,use,MEGA
Microsoft Exchange server,IP,M247
adversary-in-the-middle (AitM) attack,involve,LuoYu
Billbug,aka,Lotus Blossom
Witchetty,aka,LookingFrog
Witchetty,use,LookBack
Archangel,closely matched,Longhorn
logexts.dll,construct,Logger.dat
XMRig miner,post-exploitation activity,Log4shell exploitation
Infostealer.Eamfo,associated with,Lockbit
Autoupdate.exe,variant of,LockFile
LockBit 3.0,aka,LockBit Black
Buhti,modified version of,LockBit 3.0
Ryuk Stealer,linked to,LockBit
Eamfo,used by,LockBit
StealBit,linked to,LockBit
Buhti,use,LockBit
Sodinokibi,lead to surge ,LockBit
Sodinokibi,use,LockBit
Syrphid,operator of,LockBit
LockBit,transition to,LockBit
log.bsh,link to,LiveHelp100 campaign
eHorus,deliver,Ligolo tunneling tools
PowerShell,download,Ligolo tunneling tool
